Private,Apps,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
1,484,141,6,28,590,1196,9870,4860,600,1100,59,59,12.2,19,6744,81
1,1690,662,30,61,2718,1460,10995,4410,1000,1000,68,74,17.6,20,8086,85
0,8631,2546,25,61,11669,1605,10602,3660,570,1530,79,87,19.7,13,8020,54
1,1109,386,20,65,1897,208,8325,5000,1200,1600,14,98,16.1,26,6874,55
1,1959,695,24,47,2849,1107,11520,4960,600,1250,73,75,13.3,31,9189,83
1,191,63,5,25,494,574,11550,4270,300,500,43,77,14.5,8,9209,40
0,3820,695,21,70,5303,3942,4356,4830,800,800,76,81,22.1,6,7252,51
1,452,269,17,54,1417,301,6150,3680,550,1200,59,63,16.6,4,5412,52
1,866,157,18,47,1074,336,8920,4310,680,1320,68,68,14.6,42,6898,46
0,787,233,40,73,1017,411,5376,3214,600,1100,99,100,13.7,11,9241,34
1,1742,607,30,64,2258,53,10300,5080,475,1200,68,75,14.1,30,7762,89
0,1584,891,6,18,3471,911,5016,3798,540,2256,48,48,28.8,12,3871,59
1,3768,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84
1,1006,328,34,73,1362,102,13252,4194,450,550,89,93,13.0,33,10296,65
1,1947,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57
1,1436,1202,10,26,1320,822,4371,2370,500,2000,62,62,12.6,10,4900,18
0,6277,3526,33,63,16454,3171,5595,3145,500,2070,86,92,15.1,48,6813,53
1,5152,1685,36,71,7016,804,11610,4760,600,1950,86,94,13.5,25,9982,77
1,1232,303,23,58,1241,485,14990,4730,550,1250,86,92,15.2,28,9566,74
1,1179,290,38,64,1130,638,9690,4785,600,1000,60,84,13.3,21,7940,74
0,967,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58
1,2115,494,28,72,2993,347,12825,4375,500,1500,85,85,12.2,16,10175,89
1,461,174,10,43,738,55,9600,4550,600,750,55,94,13.3,43,7863,51
1,4576,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64
0,5549,853,9,40,5004,475,6550,4176,600,1380,80,90,17.9,16,6174,65
1,4301,1166,41,69,4892,387,12772,5078,576,1802,74,88,13.5,17,12726,72
0,2119,390,5,33,2478,1441,6550,4760,1125,1362,80,100,14.9,8,8170,46
1,2939,452,56,86,1723,113,15909,4772,500,700,85,91,11.9,37,14213,77
0,1618,479,18,54,4793,4552,7246,3964,500,4288,71,73,13.4,15,6433,48
1,440,221,26,51,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72
0,8598,1143,56,93,5060,146,6550,4170,600,650,79,84,19.1,25,5716,76
1,465,176,19,39,879,156,12580,4345,400,970,76,79,13.1,24,10889,74
1,935,345,22,50,1127,754,9490,4100,500,1500,60,79,10.7,21,7519,79
1,996,377,29,58,1411,72,12065,3615,430,685,62,78,12.5,41,8596,80
1,7033,1223,47,75,4941,1534,19040,5950,350,800,98,98,9.1,21,16920,74
1,1445,326,46,83,1129,24,15350,4080,450,810,89,93,10.3,52,18784,82
1,1420,220,9,22,1018,287,8700,4780,450,1400,78,84,14.7,19,7355,69
1,7178,1433,25,63,4623,740,7161,3518,600,2000,60,64,14.0,9,6791,70
0,14438,3816,12,39,16282,1940,8566,3897,500,1400,88,92,16.7,15,10276,68
1,353,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63
1,1003,295,23,53,1144,160,16160,6950,500,1200,74,81,8.9,33,14086,79
1,4226,2007,14,60,7703,2339,5094,4010,700,1560,77,86,16.6,10,6203,50
0,2785,1007,8,65,6507,898,7242,3603,654,1416,67,89,18.1,0,6413,51
1,5139,973,20,55,3717,1358,14400,6200,450,1100,66,74,18.4,35,8135,96
1,872,154,14,36,601,36,10194,2600,500,1500,57,63,11.4,32,5788,83
1,809,428,20,43,1889,217,10178,4190,800,750,71,71,16.1,19,7895,54
1,1616,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62
1,897,276,12,48,1345,390,10450,4020,500,1500,56,56,14.1,16,7444,70
1,13594,2505,70,86,12408,2814,17748,7262,450,1000,87,98,7.8,16,21227,71
0,535,223,6,20,959,150,7320,4640,500,600,48,65,12.6,15,7114,51
0,5653,1727,17,29,9528,3822,10800,4840,580,1050,93,96,19.3,7,6751,46
0,3150,650,16,51,3598,234,6840,4660,500,1000,71,75,15.1,17,6436,59
1,758,484,35,59,1707,705,5390,3140,515,1290,63,71,15.1,18,5511,50
